Scenario	ocean[fileName]	calendar[initialDate]	steps[maxSteps]	starfish[inDensity]	mussel[initialN]	mussel[initialDensity]	mussel.end.N	mussel.end.dens	St.End.Density	StNm1	StNm2
1	SO_.txt	9/3/2009	94	0	68.91255652	0.299425978	64.88416437	0.383356915	0	0	0
2	TX2.txt	10/3/2009	90	0.004549113	1.956202793	0.053893387	0.051535766	0.001659452	9.668570323	1.033945294	1.423135701
3	TXw.txt	10/3/2009	90	0.00925229	20.19259652	0.445417086	5.07995406	0.037713873	28.50886042	1.057513915	1.851991039
4	BSw.txt	25/03/2009	82	0.000961636	21.51561728	0.250024073	7.484294791	0.091775896	0.443160346	0.080155416	2.423507418
5	MRo.txt	26/03/2009	81	0.000162112	5.569312253	0.075766119	5.3324314	0.075215302	0	0.071142374	0
6	MRw.txt	26/03/2009	81	6.24979E-05	10.40505388	0.106084254	0.525099769	0.006269691	0	0.016891321	0
7	VVG.txt	30/03/2009	77	0.000164501	392.581487	3.56814213	355.0754643	3.583181136	0.24994749	0.041645844	0.042007982
8	AD1.txt	31/03/2009	77	0.000733843	532.3996105	1.199866692	426.9176887	1.863608434	0	0.039874764	0
9	VLz.txt	31/03/2009	77	0	3.034726369	0.031864627	0.219894721	0.00540941	0.467452125	0	0.017377402
10	ZW_.txt	1/4/2009	69	0.000385021	1114.173459	1.197646903	631.0403109	1.927166261	0	0.036322691	0
